global_row_id,method_id,post_id,issue,post_text,spans_json,raw_spans_json,word_boundary_changed,word_boundary_fallback_used,survey_n_model_tokens,survey_n_selected_tokens_raw,survey_n_selected_tokens_postprocessed,survey_masked_token_ratio_raw,survey_masked_token_ratio_postprocessed,survey_masked_token_ratio_delta,prob_drop,masked_token_ratio,p_inappropriate_original,p_inappropriate_masked
1851,attention,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 0, ""end"": 15, ""text"": ""Anyone who says""}, {""start"": 26, ""end"": 29, ""text"": ""has""}, {""start"": 59, ""end"": 65, ""text"": ""hasn't""}, {""start"": 88, ""end"": 94, ""text"": ""2. The""}, {""start"": 114, ""end"": 118, ""text"": ""I've""}, {""start"": 131, ""end"": 136, ""text"": ""is on""}, {""start"": 166, ""end"": 168, ""text"": ""or""}, {""start"": 174, ""end"": 176, ""text"": ""at""}, {""start"": 183, ""end"": 190, ""text"": ""or when""}, {""start"": 214, ""end"": 217, ""text"": ""for""}, {""start"": 230, ""end"": 232, ""text"": ""or""}, {""start"": 238, ""end"": 250, ""text"": ""at a time (A""}, {""start"": 264, ""end"": 278, ""text"": ""which a simple""}, {""start"": 287, ""end"": 291, ""text"": ""will""}, {""start"": 298, ""end"": 317, ""text"": ""And arguing for IE7""}, {""start"": 318, ""end"": 354, ""text"": ""in favor of Firefox... Weakness. For""}, {""start"": 369, ""end"": 385, ""text"": ""they added to IE""}, {""start"": 388, ""end"": 392, ""text"": ""they""}, {""start"": 405, ""end"": 422, ""text"": ""of the advantages""}, {""start"": 440, ""end"": 454, ""text"": ""had. (Flexible""}, {""start"": 455, ""end"": 463, ""text"": ""toolbars""}, {""start"": 487, ""end"": 490, ""text"": ""Who""}, {""start"": 497, ""end"": 499, ""text"": ""em""}]","[{""start"": 0, ""end"": 15, ""text"": ""Anyone who says""}, {""start"": 26, ""end"": 29, ""text"": ""has""}, {""start"": 59, ""end"": 64, ""text"": ""hasn'""}, {""start"": 88, ""end"": 94, ""text"": ""2. The""}, {""start"": 114, ""end"": 116, ""text"": ""I'""}, {""start"": 131, ""end"": 136, ""text"": ""is on""}, {""start"": 162, ""end"": 163, ""text"": ""(""}, {""start"": 166, ""end"": 168, ""text"": ""or""}, {""start"": 174, ""end"": 176, ""text"": ""at""}, {""start"": 181, ""end"": 190, ""text"": "") or when""}, {""start"": 214, ""end"": 217, ""text"": ""for""}, {""start"": 230, ""end"": 232, ""text"": ""or""}, {""start"": 238, ""end"": 250, ""text"": ""at a time (A""}, {""start"": 262, ""end"": 278, ""text"": "", which a simple""}, {""start"": 287, ""end"": 291, ""text"": ""will""}, {""start"": 295, ""end"": 316, ""text"": ""). And arguing for IE""}, {""start"": 318, ""end"": 354, ""text"": ""in favor of Firefox... Weakness. For""}, {""start"": 369, ""end"": 385, ""text"": ""they added to IE""}, {""start"": 388, ""end"": 392, ""text"": ""they""}, {""start"": 405, ""end"": 422, ""text"": ""of the advantages""}, {""start"": 440, ""end"": 450, ""text"": ""had. (Flex""}, {""start"": 455, ""end"": 464, ""text"": ""toolbars?""}, {""start"": 485, ""end"": 490, ""text"": ""? Who""}, {""start"": 497, ""end"": 501, ""text"": ""em!)""}]",True,False,111,67,62,0.6036036036036037,0.5585585585585585,-0.04504504504504514,0.6102741956710815,0.6036036036036037,0.9904212951660156,0.3801470994949341
1851,ig,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 0, ""end"": 15, ""text"": ""Anyone who says""}, {""start"": 30, ""end"": 42, ""text"": ""major memory""}, {""start"": 59, ""end"": 79, ""text"": ""hasn't actually used""}, {""start"": 91, ""end"": 106, ""text"": ""The only memory""}, {""start"": 119, ""end"": 133, ""text"": ""come across is""}, {""start"": 154, ""end"": 161, ""text"": ""windows""}, {""start"": 169, ""end"": 181, ""text"": ""more at once""}, {""start"": 186, ""end"": 190, ""text"": ""when""}, {""start"": 224, ""end"": 237, ""text"": ""hours or more""}, {""start"": 249, ""end"": 250, ""text"": ""A""}, {""start"": 318, ""end"": 373, ""text"": ""in favor of Firefox... Weakness. For every feature they""}, {""start"": 423, ""end"": 430, ""text"": ""earlier""}, {""start"": 446, ""end"": 454, ""text"": ""Flexible""}]","[{""start"": 0, ""end"": 15, ""text"": ""Anyone who says""}, {""start"": 30, ""end"": 42, ""text"": ""major memory""}, {""start"": 64, ""end"": 79, ""text"": ""t actually used""}, {""start"": 89, ""end"": 106, ""text"": "". The only memory""}, {""start"": 119, ""end"": 133, ""text"": ""come across is""}, {""start"": 154, ""end"": 161, ""text"": ""windows""}, {""start"": 169, ""end"": 181, ""text"": ""more at once""}, {""start"": 186, ""end"": 190, ""text"": ""when""}, {""start"": 224, ""end"": 237, ""text"": ""hours or more""}, {""start"": 249, ""end"": 250, ""text"": ""A""}, {""start"": 262, ""end"": 263, ""text"": "",""}, {""start"": 318, ""end"": 373, ""text"": ""in favor of Firefox... Weakness. For every feature they""}, {""start"": 423, ""end"": 430, ""text"": ""earlier""}, {""start"": 443, ""end"": 450, ""text"": "". (Flex""}, {""start"": 463, ""end"": 464, ""text"": ""?""}, {""start"": 485, ""end"": 486, ""text"": ""?""}, {""start"": 499, ""end"": 500, ""text"": ""!""}]",True,False,111,45,41,0.40540540540540543,0.36936936936936937,-0.03603603603603606,-0.0055850148200988,0.4054054054054054,0.9904212951660156,0.9960063099861144
1851,llm,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 49, ""end"": 89, ""text"": ""obviously hasn't actually used Firefox 2""}, {""start"": 341, ""end"": 349, ""text"": ""Weakness""}]","[{""start"": 49, ""end"": 90, ""text"": ""obviously hasn't actually used Firefox 2.""}, {""start"": 341, ""end"": 350, ""text"": ""Weakness.""}]",True,False,111,11,9,0.0990990990990991,0.08108108108108109,-0.018018018018018014,-0.0072104930877685,0.0990990990990991,0.9904218912124634,0.997632384300232
1851,mil,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 264, ""end"": 387, ""text"": ""which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7""}]","[{""start"": 264, ""end"": 387, ""text"": ""which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7""}]",False,False,111,30,30,0.2702702702702703,0.2702702702702703,0.0,-0.0009223222732543,0.2702702702702703,0.9904218912124634,0.9913442134857178
1851,random,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 119, ""end"": 123, ""text"": ""come""}, {""start"": 134, ""end"": 136, ""text"": ""on""}, {""start"": 163, ""end"": 165, ""text"": ""20""}, {""start"": 169, ""end"": 173, ""text"": ""more""}, {""start"": 177, ""end"": 181, ""text"": ""once""}, {""start"": 199, ""end"": 206, ""text"": ""Firefox""}, {""start"": 218, ""end"": 223, ""text"": ""three""}, {""start"": 230, ""end"": 237, ""text"": ""or more""}, {""start"": 243, ""end"": 247, ""text"": ""time""}, {""start"": 270, ""end"": 271, ""text"": ""a""}, {""start"": 287, ""end"": 291, ""text"": ""will""}, {""start"": 321, ""end"": 329, ""text"": ""favor of""}, {""start"": 355, ""end"": 368, ""text"": ""every feature""}, {""start"": 380, ""end"": 385, ""text"": ""to IE""}, {""start"": 393, ""end"": 404, ""text"": ""removed one""}, {""start"": 440, ""end"": 454, ""text"": ""had. (Flexible""}, {""start"": 465, ""end"": 490, ""text"": ""Customizable buttons? Who""}]","[{""start"": 119, ""end"": 123, ""text"": ""come""}, {""start"": 134, ""end"": 136, ""text"": ""on""}, {""start"": 162, ""end"": 165, ""text"": ""(20""}, {""start"": 169, ""end"": 173, ""text"": ""more""}, {""start"": 177, ""end"": 182, ""text"": ""once)""}, {""start"": 199, ""end"": 206, ""text"": ""Firefox""}, {""start"": 218, ""end"": 223, ""text"": ""three""}, {""start"": 230, ""end"": 237, ""text"": ""or more""}, {""start"": 243, ""end"": 247, ""text"": ""time""}, {""start"": 270, ""end"": 271, ""text"": ""a""}, {""start"": 287, ""end"": 291, ""text"": ""will""}, {""start"": 321, ""end"": 329, ""text"": ""favor of""}, {""start"": 355, ""end"": 368, ""text"": ""every feature""}, {""start"": 380, ""end"": 385, ""text"": ""to IE""}, {""start"": 393, ""end"": 404, ""text"": ""removed one""}, {""start"": 440, ""end"": 454, ""text"": ""had. (Flexible""}, {""start"": 465, ""end"": 490, ""text"": ""Customizable buttons? Who""}]",True,False,111,31,29,0.27927927927927926,0.26126126126126126,-0.018018018018018,-0.0075194239616394,0.2792792792792792,0.9904212951660156,0.997940719127655
1851,shap,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 0, ""end"": 15, ""text"": ""Anyone who says""}, {""start"": 26, ""end"": 65, ""text"": ""has major memory leaks obviously hasn't""}, {""start"": 66, ""end"": 79, ""text"": ""actually used""}, {""start"": 298, ""end"": 309, ""text"": ""And arguing""}, {""start"": 341, ""end"": 349, ""text"": ""Weakness""}, {""start"": 487, ""end"": 499, ""text"": ""Who needs em""}]","[{""start"": 0, ""end"": 15, ""text"": ""Anyone who says""}, {""start"": 26, ""end"": 63, ""text"": ""has major memory leaks obviously hasn""}, {""start"": 66, ""end"": 79, ""text"": ""actually used""}, {""start"": 298, ""end"": 309, ""text"": ""And arguing""}, {""start"": 341, ""end"": 349, ""text"": ""Weakness""}, {""start"": 485, ""end"": 500, ""text"": ""? Who needs em!""}]",True,False,111,19,19,0.17117117117117117,0.17117117117117117,0.0,0.9211114123463632,0.1711711711711711,0.9904218912124634,0.0693104788661003
1851,tfidf,475,Firefox vs internet explorer:,"Anyone who says Firefox 2 has major memory leaks obviously hasn't actually used Firefox 2. The only memory issues I've come across is on opening multiple windows (20 or more at once) or when leaving Firefox active for three hours or more at a time (A known issue, which a simple restart will fix). And arguing for IE7 in favor of Firefox... Weakness. For every feature they added to IE 7 they removed one of the advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em!)","[{""start"": 7, ""end"": 58, ""text"": ""who says Firefox 2 has major memory leaks obviously""}, {""start"": 66, ""end"": 118, ""text"": ""actually used Firefox 2. The only memory issues I've""}, {""start"": 137, ""end"": 168, ""text"": ""opening multiple windows (20 or""}, {""start"": 186, ""end"": 217, ""text"": ""when leaving Firefox active for""}, {""start"": 270, ""end"": 295, ""text"": ""a simple restart will fix""}, {""start"": 321, ""end"": 354, ""text"": ""favor of Firefox... Weakness. For""}, {""start"": 412, ""end"": 499, ""text"": ""advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em""}]","[{""start"": 7, ""end"": 58, ""text"": ""who says Firefox 2 has major memory leaks obviously""}, {""start"": 66, ""end"": 115, ""text"": ""actually used Firefox 2. The only memory issues I""}, {""start"": 137, ""end"": 168, ""text"": ""opening multiple windows (20 or""}, {""start"": 186, ""end"": 217, ""text"": ""when leaving Firefox active for""}, {""start"": 270, ""end"": 295, ""text"": ""a simple restart will fix""}, {""start"": 321, ""end"": 354, ""text"": ""favor of Firefox... Weakness. For""}, {""start"": 412, ""end"": 499, ""text"": ""advantages earlier versions had. (Flexible toolbars? Customizable buttons? Who needs em""}]",True,False,111,61,63,0.5495495495495496,0.5675675675675675,0.018018018018017945,-0.0077205896377563,0.550561797752809,0.9904212951660156,0.998141884803772
1857,attention,500,Should physical education be mandatory in schools:,yes! our kids are so out of shape for the most part and eat too much junk,"[{""start"": 0, ""end"": 17, ""text"": ""yes! our kids are""}, {""start"": 25, ""end"": 27, ""text"": ""of""}, {""start"": 34, ""end"": 41, ""text"": ""for the""}, {""start"": 52, ""end"": 59, ""text"": ""and eat""}, {""start"": 69, ""end"": 73, ""text"": ""junk""}]","[{""start"": 0, ""end"": 17, ""text"": ""yes! our kids are""}, {""start"": 25, ""end"": 27, ""text"": ""of""}, {""start"": 34, ""end"": 41, ""text"": ""for the""}, {""start"": 52, ""end"": 59, ""text"": ""and eat""}, {""start"": 69, ""end"": 73, ""text"": ""junk""}]",False,False,18,11,11,0.6111111111111112,0.6111111111111112,0.0,0.1191345453262329,0.6111111111111112,0.9983546137809752,0.8792200684547424
1857,ig,500,Should physical education be mandatory in schools:,yes! our kids are so out of shape for the most part and eat too much junk,"[{""start"": 0, ""end"": 24, ""text"": ""yes! our kids are so out""}, {""start"": 38, ""end"": 46, ""text"": ""the most""}, {""start"": 69, ""end"": 73, ""text"": ""junk""}]","[{""start"": 0, ""end"": 24, ""text"": ""yes! our kids are so out""}, {""start"": 38, ""end"": 46, ""text"": ""the most""}, {""start"": 69, ""end"": 73, ""text"": ""junk""}]",False,False,18,10,10,0.5555555555555556,0.5555555555555556,0.0,0.0046610832214355,0.5555555555555556,0.9983546137809752,0.9936935305595398
1857,llm,500,Should physical education be mandatory in schools:,yes! our kids are so out of shape for the most part and eat too much junk,"[{""start"": 18, ""end"": 33, ""text"": ""so out of shape""}, {""start"": 56, ""end"": 73, ""text"": ""eat too much junk""}]","[{""start"": 18, ""end"": 33, ""text"": ""so out of shape""}, {""start"": 56, ""end"": 73, ""text"": ""eat too much junk""}]",False,False,18,8,8,0.4444444444444444,0.4444444444444444,0.0,0.0040337443351744,0.4444444444444444,0.9983546137809752,0.9943208694458008
