global_row_id,post_id,split,issue,argument,Inappropriateness,p_inappropriate,llm_span_text,llm_char_start_original,llm_char_end_original,llm_char_start,llm_char_end,llm_confidence,llm_valid,llm_fixed_offsets,llm_error,model_name
8,11,train,India has the potential to lead the world:,"stupid india they actually really suck. so, BOO INDIA BOO!",1,0.9977091550827026,stupid india they actually really suck,0,38,0,38,0.95,True,False,,gemini-3-flash-preview
17,24,train,Evolution vs creation:,"Believing ""Evolution"" as in Darwinism and the like, is like believing the puzzle can be solved by pouring the pieces out because two pieces kind of stuck together.",1,0.9984011054039,is like believing the puzzle can be solved by pouring the pieces out because two pieces kind of stuck together.,52,163,52,163,0.8,True,False,,gemini-3-flash-preview
49,69,train,Pro choice vs pro life:,"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it.
And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around.",1,0.9984808564186096,It's the woman's fault,205,227,206,228,0.9,True,True,,gemini-3-flash-preview
53,74,train,Gay marriage right or wrong:,"If you do not like gay marriage and thing it is wrong then do not watch a gay couple make out.
Who are you to tell people that their veiws are incorrect and that they must change there feelings and that apparently they are wrong. Meanwhile, everyone is entitled to their opinions, but keep them to yourself. Do not try to change others based on your beliefs. It is selfish and takes away self rights.",1,0.9983552098274232,keep them to yourself,286,307,286,307,0.9,True,False,,gemini-3-flash-preview
88,123,train,"Cmv: the minute you intentionally put a person's life at risk, you forfeit your own  if you threaten in a deadly manner, you deserve to die.:","These days, we grant more rights to convict's than we ever have.  While I appreciate people make mistakes, I believe some actions should have permanent consequences, and that we have morally compromised ourselves in making exceptions to this.  I fundamentally contradict that every individual has a right to live- if you are willing to put someone else right to life in jeopardy, then you have demonstrated that you are a net negative impact to society, and that as a whole we would all be better off if you were dead.  

Edited for nuance- you guys have made some good examples of grey areas- I'm not disputing that.  This is more a question of the principle.  Let's go ahead and refine this further- in the moment of endangering another individuals life, with out extenuating circumstances such as mental illness or protecting others, then in that moment society has a prerogative to take your life. ",1,0.9971351623535156,we would all be better off if you were dead,474,517,474,517,0.9,True,False,,gemini-3-flash-preview
95,132,train,The only one playing god is the man with the gun.   stance: agree:,"I hear all too often that science is 'playing God'. We as a species have superceeded the need for natural selection. We must control our evolution to ensure our survival. Ever since 1999 we have decoded the human genome, and it is time we manipulate it. Our stability as a society has allowed the meek to prosper, not to say that this is bad, but it has proven damning to our condition. We grow ever weaker as we use advanced medication to suffice our ailments to the point that we are not aware of our declination. The only fortitude is in our ability to plan our evolution. If god did not intend us to do so, he is nearsighted. If god wishes us to stop, he is inhumane.
-
To play god is to assume the state of mind of supreme judgement. Judgement that self-validates the terms of life, and the value thereof. To play god is to take life. The only one playing God is the man with the gun.",1,0.997559666633606,"If god did not intend us to do so, he is nearsighted. If god wishes us to stop, he is inhumane.",577,672,576,671,1.0,True,True,,gemini-3-flash-preview
96,133,train,0% gun tolerance on the streets in the us   stance: anti guns:,"Unless every single gun that is issued legally is tested with ballistics before being issued so that any bullet fired from a licensed gun can be traced, if found intact, then guns pose a threat because there is no way for those bullets to be traced back to owners so they can account for the shots they fired. It's like giving someone a jaguar as long as they promise to never let it out of their site. It's bull sh*t.",1,0.994609236717224,It's bull sh*t.,384,399,403,418,1.0,True,True,,gemini-3-flash-preview
135,193,train,Is porn wrong:,"I note that whenever someone starts in on the ""Porn is ebil 'n' degrading"" spiel, they focus exclusively on women.
As if there's no such thing as porn *actors*. (What, men don't count?)
Porn is a form of entertainment. No more. No less. Any arguement otherwise is just ""Feminist"" bullsh*t.",1,0.9983508586883544,"""Feminist"" bullsh*t",271,290,271,290,0.95,True,False,,gemini-3-flash-preview
145,209,train,Gay marriage right or wrong:,"If being homosexual was natural then
1. There would only be possibly 6 people on the earth...meaning none of the people making up these sarcastic remakes would be around....heck I wouldn't be around
2. If homosexuality was natural then the butthole would be in the front part of the body.
Its never been accepted as ""natural"" by society only till now. So i'm pretty sure thousands of years of recorded human history have a little more weight than some piss ant liberal venting on how its unfair.",1,0.9984434247016908,piss ant liberal,454,470,455,471,0.95,True,True,,gemini-3-flash-preview
157,224,train,Pro choice vs pro life:,"for everyone who is talking about RAPE in this subject let me ask you one thing!!!! if you got in a huge fight with someone and ended up breaking your hand or arm... would you cut it off just because it would REMIND you of that expirience???
if your actualy SANE you would say no and if you say yes you need to see a Physiatrist!!!!",1,0.9981822967529296,you need to see a Physiatrist!!!!,300,333,300,333,0.9,True,False,,gemini-3-flash-preview
172,248,train,This question is for pro life and pro choice abortion?:,"If the other 97% were banned, wouldn't those women start saying that they were raped, it was a case of incest, or that their health would not tolerate it?

And then women would use metal hangers again, quite unhealthy.

I do agree that cutting down on abortions in the US would be good.  Birth control should be administered to anyone having sex.",1,0.998606503009796,women would use metal hangers again,184,219,167,202,0.9,True,True,,gemini-3-flash-preview
174,251,train,If a person takes really bad advice from this section who is responsible?:,"If you take bad advice from an Internet chat/question and answer site, it is YOUR FAULT! Stop trying to find ways to sue people. You are not hiring someone for legal advice on Yahoo answers. See a licensed attorney in your state if you need legal advice. If you do something EXTREMELY stupid as a result of a website, you were EXTREMELY stupid to begin with.

Well, after all that, I would love to give you some case law and advice about liability, but that would be legal advice and my lawyer is not in today to write me up a disclaimer to add at the bottom of this.",1,0.9984233379364014,EXTREMELY stupid,275,291,275,291,0.9,True,False,,gemini-3-flash-preview
180,263,train,Should it be legal to burn the flag?:,"I don't like the idea of burning the flag, but the freedom it's supposed to represent, should allow someone to do so if they  want to. After all, what is being destroyed is only a piece of cloth. Making a law which prohibits us from burning the flag does much more damage than the act itself. You lose so much more by taking away people's freedom.

LVprincess - ""yea okay we have freedom of expression and speech and all that crap"" 

If you think freedom of speech is crap, then maybe your the one who needs to move.",1,0.9985666871070862,maybe your the one who needs to move,470,506,483,519,0.9,True,True,,gemini-3-flash-preview
