global_row_id,argument_index,display_position,version,display_label,method_id,rating_question_code,ranking_question_code,comment_question_code
2150,7,1,1,A,llm,A07V1A,A07V1R,A07V1CMT
2150,7,1,1,B,tfidf,A07V1B,A07V1R,A07V1CMT
2150,7,1,1,C,ig,A07V1C,A07V1R,A07V1CMT
2150,7,1,1,D,shap,A07V1D,A07V1R,A07V1CMT
2088,2,2,1,A,ig,A02V1A,A02V1R,A02V1CMT
2088,2,2,1,B,attention,A02V1B,A02V1R,A02V1CMT
2088,2,2,1,C,llm,A02V1C,A02V1R,A02V1CMT
2088,2,2,1,D,random,A02V1D,A02V1R,A02V1CMT
1847,5,3,1,A,random,A05V1A,A05V1R,A05V1CMT
1847,5,3,1,B,shap,A05V1B,A05V1R,A05V1CMT
1847,5,3,1,C,attention,A05V1C,A05V1R,A05V1CMT
1847,5,3,1,D,tfidf,A05V1D,A05V1R,A05V1CMT
2074,6,4,1,A,mil,A06V1A,A06V1R,A06V1CMT
2074,6,4,1,B,random,A06V1B,A06V1R,A06V1CMT
2074,6,4,1,C,shap,A06V1C,A06V1R,A06V1CMT
2074,6,4,1,D,ig,A06V1D,A06V1R,A06V1CMT
1821,3,5,1,A,attention,A03V1A,A03V1R,A03V1CMT
1821,3,5,1,B,ig,A03V1B,A03V1R,A03V1CMT
1821,3,5,1,C,tfidf,A03V1C,A03V1R,A03V1CMT
1821,3,5,1,D,mil,A03V1D,A03V1R,A03V1CMT
2047,4,6,1,A,shap,A04V1A,A04V1R,A04V1CMT
2047,4,6,1,B,llm,A04V1B,A04V1R,A04V1CMT
2047,4,6,1,C,mil,A04V1C,A04V1R,A04V1CMT
2047,4,6,1,D,attention,A04V1D,A04V1R,A04V1CMT
1969,1,7,1,A,tfidf,A01V1A,A01V1R,A01V1CMT
1969,1,7,1,B,mil,A01V1B,A01V1R,A01V1CMT
1969,1,7,1,C,random,A01V1C,A01V1R,A01V1CMT
1969,1,7,1,D,llm,A01V1D,A01V1R,A01V1CMT
2047,4,1,2,A,random,A04V2A,A04V2R,A04V2CMT
2047,4,1,2,B,shap,A04V2B,A04V2R,A04V2CMT
2047,4,1,2,C,attention,A04V2C,A04V2R,A04V2CMT
2047,4,1,2,D,tfidf,A04V2D,A04V2R,A04V2CMT
1821,3,2,2,A,shap,A03V2A,A03V2R,A03V2CMT
1821,3,2,2,B,llm,A03V2B,A03V2R,A03V2CMT
1821,3,2,2,C,mil,A03V2C,A03V2R,A03V2CMT
1821,3,2,2,D,attention,A03V2D,A03V2R,A03V2CMT
2074,6,3,2,A,llm,A06V2A,A06V2R,A06V2CMT
2074,6,3,2,B,tfidf,A06V2B,A06V2R,A06V2CMT
2074,6,3,2,C,ig,A06V2C,A06V2R,A06V2CMT
2074,6,3,2,D,shap,A06V2D,A06V2R,A06V2CMT
2150,7,4,2,A,tfidf,A07V2A,A07V2R,A07V2CMT
2150,7,4,2,B,mil,A07V2B,A07V2R,A07V2CMT
2150,7,4,2,C,random,A07V2C,A07V2R,A07V2CMT
2150,7,4,2,D,llm,A07V2D,A07V2R,A07V2CMT
2088,2,5,2,A,attention,A02V2A,A02V2R,A02V2CMT
2088,2,5,2,B,ig,A02V2B,A02V2R,A02V2CMT
