version,display_position,argument_index,global_row_id,block_index,method_A,method_B,method_C,method_D
1,1,7,2118,7,llm,tfidf,ig,shap
1,2,2,1857,2,ig,attention,llm,random
1,3,5,2027,5,random,shap,attention,tfidf
1,4,6,2076,6,mil,random,shap,ig
1,5,3,1901,3,attention,ig,tfidf,mil
1,6,4,1949,4,shap,llm,mil,attention
1,7,1,1851,1,tfidf,mil,random,llm
2,1,4,1949,5,random,shap,attention,tfidf
2,2,3,1901,4,shap,llm,mil,attention
2,3,6,2076,7,llm,tfidf,ig,shap
2,4,7,2118,1,tfidf,mil,random,llm
2,5,2,1857,3,attention,ig,tfidf,mil
2,6,1,1851,2,ig,attention,llm,random
2,7,5,2027,6,mil,random,shap,ig
3,1,7,2118,2,ig,attention,llm,random
3,2,5,2027,7,llm,tfidf,ig,shap
3,3,1,1851,3,attention,ig,tfidf,mil
3,4,3,1901,5,random,shap,attention,tfidf
3,5,2,1857,4,shap,llm,mil,attention
3,6,4,1949,6,mil,random,shap,ig
3,7,6,2076,1,tfidf,mil,random,llm
4,1,6,2076,2,ig,attention,llm,random
4,2,2,1857,5,random,shap,attention,tfidf
4,3,5,2027,1,tfidf,mil,random,llm
4,4,7,2118,3,attention,ig,tfidf,mil
4,5,1,1851,4,shap,llm,mil,attention
4,6,3,1901,6,mil,random,shap,ig
4,7,4,1949,7,llm,tfidf,ig,shap
5,1,4,1949,1,tfidf,mil,random,llm
5,2,7,2118,4,shap,llm,mil,attention
5,3,5,2027,2,ig,attention,llm,random
5,4,6,2076,3,attention,ig,tfidf,mil
5,5,2,1857,6,mil,random,shap,ig
5,6,3,1901,7,llm,tfidf,ig,shap
5,7,1,1851,5,random,shap,attention,tfidf
6,1,3,1901,1,tfidf,mil,random,llm
6,2,2,1857,7,llm,tfidf,ig,shap
6,3,7,2118,5,random,shap,attention,tfidf
6,4,1,1851,6,mil,random,shap,ig
6,5,6,2076,4,shap,llm,mil,attention
6,6,5,2027,3,attention,ig,tfidf,mil
6,7,4,1949,2,ig,attention,llm,random
7,1,3,1901,2,ig,attention,llm,random
7,2,1,1851,7,llm,tfidf,ig,shap
7,3,4,1949,3,attention,ig,tfidf,mil
7,4,6,2076,5,random,shap,attention,tfidf
7,5,7,2118,6,mil,random,shap,ig
7,6,2,1857,1,tfidf,mil,random,llm
7,7,5,2027,4,shap,llm,mil,attention
