post_id,source_dataset,issue,post_text,Inappropriateness,Toxic Emotions,Excessive Intensity,Emotional Deception,Missing Commitment,Missing Seriousness,Missing Openness,Missing Intelligibility,Unclear Meaning,Missing Relevance,Confusing Reasoning,Other Reasons,Detrimental Orthography,Reason Unclassified,fold0.0,split,global_row_id,p_appropriate,p_inappropriate,predicted_label
1052,1,Why isn't prostitution legal?:,"I certainly don't fear ""the competition""...Besides the fact that my husband gets it good at home, most of the prostitutes I've seen are FAR from ""very hot chick""...Most of them are drug addicted skanks who stopped trying to have any other skills when they realized they could make money off their own twat.

Personally, I believe that it should be legalized, as this removes much of the mystique and sordidness from the whole situation.  Also, in most places where it's legal, they're tested for diseases on a regular basis, which obviously solves a major problem.",1,1,1,1,1,0,1,1,0,1,0,0,0,0,TRAIN,train,730,0.001650538528338,0.99834942817688,LABEL_1
341,0,Evolution vs creation:,"If you can, then please do so. Illuminate us with your facts!
Do you have brain scans of the first humans? How about average organ sizes? Hair patterns? Facial characteristics? Heart rate records?
Speaking of these factors, how do you sabrejimmy account for the different racial characteristics of modern humans? I'm married to a Japanese woman. Why do we look so different?
Was there in fact an Asian Garden of Eden? And an African Garden of Eden? And a ...
What do you actually believe anyhow?",1,1,0,1,1,0,1,1,1,0,0,0,0,0,TRAIN,train,235,0.0015935867559164,0.99840646982193,LABEL_1
791,0,India has the potential to lead the world:,this does not even make sense no one country should lead the world we all started together and thats the way it should end and everyone has there ways this is just not logical at all,1,0,0,0,1,1,1,1,1,1,0,0,0,0,TEST,test,1921,0.0022276372183114,0.9977723956108092,LABEL_1
1381,2,"Cmv: the ""war on terror™"" the biggest scam in the history of the world:","I'm 30, and it seems like for nearly have my life we have ""at war"" with al qaeda/terrorism by way of military adventurism, nation building, and shifting an enormous amount of GDP into military contractors at the expensive of using that GDP to help our own citizens.

It looks to me that the military industrial complex used 9/11 as an excuse to be at war with a very generic concept of ""terrorism"" so in theory the ""war"" would never end since there will always be ""terrorism"" in the world (pre and post 9/11 dating back 1000's of years...).

It also seems like a political tool of the right wing to scare old white conservatives into fearing brown people so they elect the most hawkish neo-con into office to spend even more on military adventurism.
To me, it just seems like a huge scam into spending an enormous amount of money on exactly what Eisenhower warned us about.",1,1,1,1,1,0,1,1,0,1,0,0,0,0,TRAIN,train,958,0.0022661769762635,0.9977338314056396,LABEL_1
2004,2,Cmv: the term redskin is not equivalent to the n word.:,"Throughout the debate with the Washington Redskins I keep hearing the argument that a teamed named the Washington Redskins is the equivalent of having a team named the Detroit N*****s.

This to me is illogical: First off when has anyone every heard the word Redskin outside of talking about the professional football team? Has anyone used the word Redskin out of hate? I am not sure as to whether or not it is a racist term but I am going to assume it is. However, Redskin is not similar at all to using the N word just simply on how the word is used in context. 

CMV ",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,1395,0.0022428871598094,0.9977571368217468,LABEL_1
2042,0,India has the potential to lead the world:,"I HAVE TO SAY BUT JUST 1 WORD: CORRUPTION, CORRUPTION & CORRUPTION........",1,1,1,1,1,1,1,1,1,1,0,0,0,0,TRAIN,train,1421,0.0030091514345258,0.9969907999038696,LABEL_1
329,0,Evolution vs creation:,"Debates are based on convincing evidence. There is very little evidence supporting creation, while there are massive amounts supporting an evolutionary argument.
True. But, evidence must withstand the test of accepted truth. We can't say that creation is false, because there is no explanation provided for the origins of the ""particles"" that caused the evolution theory. Although the evolution theory is interesting, and quite possible, it does not rule out creation. Since creation cannot be ruled out in any way, and evolution can, creation is the best possible theory.",1,1,1,0,1,0,1,0,0,0,0,0,0,0,TRAIN,train,226,0.0080000720918178,0.9919998645782472,LABEL_1
1318,0,Christianity or atheism:,"Christianity, because I always root for the underdog. The membership of the atheist here is way bigger. Just look at the congregations of both.",1,1,0,1,1,1,0,1,0,1,0,0,0,0,TRAIN,train,915,0.001452860655263,0.9985471367836,LABEL_1
2062,0,Pro choice vs pro life:,"I dont want to say i officially have a position, but i want someone on the other side to answer this because i honestly just dont know:
if a 14 year old is raped (which, we have established, happens), and she then gets pregnant, but because she is 14, she will die if she has the baby, what is the pro life decision? is it then pro-life to have an abortion?
i just dont know and i want an answer from someone on the other side",1,1,1,0,0,0,0,1,1,1,0,0,0,0,TEST,test,2168,0.0029021319933235,0.9970978498458862,LABEL_1
11,0,India has the potential to lead the world:,"stupid india they actually really suck. so, BOO INDIA BOO!",1,1,0,1,1,1,1,1,1,1,0,0,0,0,TRAIN,train,8,0.0022908388637006,0.9977091550827026,LABEL_1
453,2,Possible ld topic: should limiting economic inequality be a more important social goal than maximizing economic freedom?   stance: limiting econ inequality > maximizing econ freedom:,"The poor needs help! The rich will get richier and the poor will get poorer unless we intervene. And having poor people exploited is bad for society. No heathcare, no political and legal representation, and there will be blood spilled with a revolution (as we have seen in Cuba, Russia, and China), and it will usually result in a dictatorship. This does not mean taxing people 20%, rather, it just means making it a societal goal to help the poor and invest in the people.",1,1,1,1,0,0,0,0,0,0,0,0,0,0,TRAIN,train,316,0.0025563843082636,0.997443675994873,LABEL_1
1008,0,Should physical education be mandatory in schools:,Gym class is a useless class that students waste time in. There should be a test and if people can not run a mile without stopping every couple feet they should join. There is also the fact people can join to get prepared for sports. Students should have that class time to use it towards their careers and not a class that is just there.,1,0,0,0,1,0,1,0,0,0,0,0,0,0,VALID,validation,1631,0.0018196147866547,0.9981803894042968,LABEL_1
1183,1,"Bush n hitler,  same assholess, but with different shitt... comments??:","Lets see 
Hitler committed suicide in a bunker in Germany in 1945 which makes him DEAD.
President Bush is alive and well in the year 2006
Unless one of them can time travel its impossible for them to be the same a********.  I understand about the different s**t part.
I may never get to level 4 by answering all these types of questions but its starting to get less boring see ya",1,1,0,1,1,1,1,1,0,1,0,0,0,0,TEST,test,1998,0.0014829618157818,0.9985170960426332,LABEL_1
1004,0,Pro choice vs pro life:,"My one question...
Why is it we argue for the ""right"" to kill the unborn when the government is taking away our real rights?",1,1,1,1,0,0,0,1,1,1,0,0,0,0,TRAIN,train,700,0.0018733292818069,0.9981266856193542,LABEL_1
251,1,If a person takes really bad advice from this section who is responsible?:,"If you take bad advice from an Internet chat/question and answer site, it is YOUR FAULT! Stop trying to find ways to sue people. You are not hiring someone for legal advice on Yahoo answers. See a licensed attorney in your state if you need legal advice. If you do something EXTREMELY stupid as a result of a website, you were EXTREMELY stupid to begin with.

Well, after all that, I would love to give you some case law and advice about liability, but that would be legal advice and my lawyer is not in today to write me up a disclaimer to add at the bottom of this.",1,1,1,1,1,1,0,0,0,0,0,0,0,0,TRAIN,train,174,0.0015766901196911,0.9984233379364014,LABEL_1
1029,1,Do you feel that child protective services are doing there job protecting children.?:,"i don't know where you're getting the idea they make tons of money from putting kids in foster care.  it COSTS the state tons of money.  my sister does this for a living and their departements are severly underfunded and understaffed.  the workers do what they can but sadly, until everyone gets it through to their local officals that they want money spent on protecting abused children instead of tax cuts and expanding roads the situation is not going to improve.  it's really sad.  my sister alone has about 50 cases and she's sposued to visit the foster home, the parents, supervise at least 1 visit and go to court monthly for each of them.  there's just not enough hours in a day.  each caseworker should only have about 20 cases but they don't have the funding to hire enough people.  i hope your situation works out.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,TEST,test,1969,0.0060746716335415,0.993925392627716,LABEL_1
1275,0,Should physical education be mandatory in schools:,i think we should have gym because kids get FAT and tubby! its not ok for kids to get fat and tubby!!!!!,1,1,1,1,1,0,1,0,0,0,0,0,0,0,TRAIN,train,887,0.0025142363738268,0.9974857568740844,LABEL_1
2133,1,"If the government has the authority to kill people, they why do they say that they are against violence?:","The principle here is not that they are able to kill people but for what reason. The execution of a known felon who has him/herself murdered countless lives has forfeited his/her right to live under the eyes of the law. If he/she were to be set free and thus cause more deaths on the population it is justified to take his life for the general good. They are against violence, random and senseless violence that is. Sanctioned killings whereby a person has commited crimes deemed irreconcievable in the eyes of the community is not a crime nor hyprocracy but justified and necessary. As for war it depends on the reason, to the defence of life and country it is a noble cause, for an outster of a regime not friendly to a country that is selfcentered hyprocracy for a nation that cherishes life, liberty and the pursuit of happiness.",1,0,0,0,1,0,1,0,0,0,0,0,0,0,TRAIN,train,1489,0.0018622900824993,0.9981377124786376,LABEL_1
2097,0,Human growth and development should parents use spanking as an option to discipline:,The child is young and doesn't know what is wrong and what is right.,1,0,0,0,0,0,0,1,1,0,0,0,0,0,TEST,test,2176,0.0088261105120182,0.9911739230155944,LABEL_1
1974,1,"What about the bombings, rapings, illegal use of drugs by our children, or them being abducted & raped?:","Please note, there are quite a number of illegal immigrants in our prisons and jails, for rape, murder, drug smuggling and theft. Because they crossed the border illegally, it means that criminals also crossed the border. Without a system, anybody can come in, no matter how diseased or criminal.

Amazingly enough, not all law-breaking illegal immigrants are honest and hard-working people.",1,1,0,1,0,0,0,1,1,0,0,0,0,0,TRAIN,train,1378,0.001567534985952,0.998432457447052,LABEL_1
132,2,The only one playing god is the man with the gun.   stance: agree:,"I hear all too often that science is 'playing God'. We as a species have superceeded the need for natural selection. We must control our evolution to ensure our survival. Ever since 1999 we have decoded the human genome, and it is time we manipulate it. Our stability as a society has allowed the meek to prosper, not to say that this is bad, but it has proven damning to our condition. We grow ever weaker as we use advanced medication to suffice our ailments to the point that we are not aware of our declination. The only fortitude is in our ability to plan our evolution. If god did not intend us to do so, he is nearsighted. If god wishes us to stop, he is inhumane.
-
To play god is to assume the state of mind of supreme judgement. Judgement that self-validates the terms of life, and the value thereof. To play god is to take life. The only one playing God is the man with the gun.",1,1,0,1,1,0,1,1,0,1,0,1,0,1,TRAIN,train,95,0.0024403086863458,0.997559666633606,LABEL_1
1113,0,Is porn wrong:,"well, the people who watch porn,
i guess thats ok, its NORMAL.
but the people who are
IN the porn, that is not normal..
i read it in a abnormal psychology book,
that means they have a disorder",1,1,1,1,1,0,1,1,0,1,1,0,0,0,TRAIN,train,773,0.00260586803779,0.99739408493042,LABEL_1
1235,2,Genocide in darfur; should we send help?   stance: yes:,"I think we should. Think about it. There are innocent people in Darfur who are being slayn without mercy, and we are letting it happen. Consider this: if there was group of terrorists in our homeland, then wouldn't you want help? It's the same scenario for the people in Darfur, they want help, but they aren't getting it.
Also, if we lend a helping hand, then it will put in a good word for the US.",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,861,0.0032724305056035,0.9967275857925416,LABEL_1
1428,0,Evolution vs creation:,"now tell me this evolution beleivers... how is it that evolution is true, and man kind is currently not evolving? and how is it (for those of you whom HAVE religion), that adam and eve were the first of the human race to walk on this very planet, the 'parents' of mankind? in arabic makind is 'bani adam' which literally means the tribe of adam...",1,0,0,0,1,0,1,1,1,1,0,0,0,0,TRAIN,train,995,0.0032059878576546,0.996794044971466,LABEL_1
2140,1,Obesity vs hunger?:,"i think it sounds like we are becoming an comunistic country trying to pass a law like that who does this country think it is to say what a person can or cant spend on food its helping our economy

there is more to obesity then buying to much food... some obese people dont eat much but what they are eating is junk and empty calories... some try to buy healthy and get things like slim fast full of preservitives and poisons....
some just dont exercise.. maybe we should pass a law for mandatory exercise!.... or health and nutrition classes... maybe we should stop selling a bunch of junk maybe we should make organic  and natural foods more affordable",1,1,1,0,1,0,1,1,1,1,0,0,0,0,TRAIN,train,1492,0.0021982935722917,0.9978017210960388,LABEL_1
69,0,Pro choice vs pro life:,"There are tons of ways to not get pregnant. There are condoms (99% effective) for men and women, there are morning-after pills (75% effective), the patch, pill, and other forms of ways not to get pregnant. It's the woman's fault that she didn't do it.
And maybe instead of Pro-choice vs. Pro-life, they (i don't know who ""they"" is) should have pro-life, but with exceptions (i.e. women that get raped) so that it's fair all-around.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,TRAIN,train,49,0.0015191255370154,0.9984808564186096,LABEL_1
333,0,Should physical education be mandatory in schools:,"Yes! and yes and yes and definately a god damn bloody yes.
Lack of physical education is the reason why your aunt or uncle is in hospital.
Lack of physical education is the reason why millions of people are fat.
Lack of physical education is the reason why you cannot sleep properly at times.
Lack of physical education is the reason why you are not having super great sex with your girlfriend(s)",1,1,1,1,1,1,1,1,0,1,1,0,0,0,TEST,test,1822,0.0018171890405938,0.9981828331947328,LABEL_1
1088,2,Should we pay for education or not ?   stance: we should pay for it:,"We should not have to pay for education as it is vital for society to function. If people are unable to afford the price of education there are consequences that will occur; such as many children's futures will disintegrate. Education is what gives people the power to achieve goals and successfullness; What right has anyone got to refuse to educate someone simply because they are unable to provide the funds required?
MJ",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,758,0.003618553513661,0.996381402015686,LABEL_1
1154,0,Gay marriage right or wrong:,"Same sex marrage can couse a lot of contriverse, it puts peoples life at risk in extrem cases gay marrage has caused so much trouble pepole has resulted in murder and sucied",1,1,1,1,1,0,1,1,0,1,1,1,1,0,TEST,test,1994,0.0093224449083209,0.9906775951385498,LABEL_1
778,3,"Business review: 4.0 stars
business name: playa cabana   hacienda. city: toronto. categories: restaurants, mexican:","My wife and I love this place. We take people here all the time. They just changed the nachos from a wonderfully tasty chip to ones that are meh. For a Mexican place you would think they would stay with what works. Hopefully the other locations do not use these sub par chips. We will not be ordering out guac / salsa / and chips anymore. Why bother,",1,0,0,0,0,0,0,1,1,0,0,0,0,0,TRAIN,train,539,0.0024778905790299,0.9975220561027528,LABEL_1
1744,0,Is porn wrong:,"Adrian Peterson? Are you my husband, seriously? If not then I'm sorry. Your name, along with your speech, have me convinced you are. Good one BTW.",1,0,0,0,0,0,0,1,0,1,0,0,0,0,TRAIN,train,1217,0.0021306502167135,0.9978693723678588,LABEL_1
